Latitude,SqFtTotLiving,SqFt2ndFloor,Longitude,YrBuilt,SqFtFinBasement,SqFt1stFloor
47.5858884,1370,0,-122.3887305,1929,0,970
47.5587226,2280,1360,-122.3638735,2016,0,920
47.467184,1540,0,-122.2953129,1963,500,1040
47.5948868,1260,550,-122.2957497,2016,160,550
47.6792416,1120,0,-122.1160942,1980,0,1120
47.4715057,1830,0,-122.0968392,1974,350,1480
47.293311,1420,0,-122.3711377,1976,600,820
47.351787,2334,1350,-122.1381359,2018,0,984
47.2668563,1780,0,-122.265944,1913,0,1160
47.7331586,780,0,-122.3520337,1950,0,780
47.5017434,2890,0,-122.4648062,1975,580,2120
47.681661,1210,0,-122.2757654,1944,0,1210
47.4361968,2525,1515,-122.1573894,2019,0,1010
47.3357357,1420,0,-122.307097,1967,0,1420
47.3044073,2360,0,-122.3812774,1978,1010,1350
47.5557908,2040,0,-122.1774622,1959,700,1340
47.4361968,2525,1515,-122.1573894,2019,0,1010
47.6823273,1370,0,-122.3655963,1920,250,700
47.4560509,800,0,-122.2767268,1928,0,800
47.3066779,590,0,-122.2024202,1923,0,590
47.6574291,1160,390,-122.3484712,2018,380,390
47.7153258,2030,0,-122.3242326,1978,710,1320
47.7530498,2410,0,-122.2846642,1948,1130,1280
47.676895,780,0,-122.3791662,1941,0,780
47.6900846,2510,0,-122.298841,1957,1230,1280
47.3234295,1300,0,-122.2834684,1955,0,1300
47.6365067,1520,500,-122.3182648,1927,0,1020
47.7099815,2980,1760,-122.2163119,2018,0,1220
47.5002084,1090,0,-122.1690031,1962,0,1090
47.6263815,2570,0,-122.1001688,1977,860,1710
47.7144752,1100,0,-122.2841388,1960,0,1100
47.4437174,2660,0,-122.177667,1976,920,1740
47.4854464,2790,1550,-122.136919,2018,0,1240
47.3541899,1770,0,-122.14526,1969,410,1360
47.7119711,1370,0,-122.3589806,1940,0,1370
47.5850868,1120,0,-122.3078344,1910,0,620
47.4514989,3130,0,-122.375945,1937,570,1280
47.6788086,1150,480,-122.3753779,2017,190,480
47.7244449,3020,0,-122.3681193,1946,1490,1530
47.5890456,2440,1100,-122.165559,2000,470,870
47.5262975,960,0,-122.3613416,1975,0,960
47.4905872,1680,0,-122.2215878,1955,420,1260
47.6640747,820,0,-122.3426426,1918,0,820
47.5012918,1550,0,-122.1669067,1963,0,1550
47.5909421,3150,0,-122.175675,1959,890,2260
47.7268567,1970,0,-122.2388344,1975,0,1970
47.7653255,1040,0,-122.2632221,1955,0,1040
47.352023,2334,1350,-122.13782,2018,0,984
47.7737197,1720,0,-122.3354807,1960,500,1220
47.7121486,1610,0,-122.3533566,1952,0,1610
47.4373475,2525,1515,-122.1566857,2018,0,1010
47.3675703,2390,810,-122.1445109,1980,790,790
47.6077709,2040,1010,-122.2886135,1901,0,1030
47.5683117,670,0,-122.3910669,1943,0,670
47.664578,1320,490,-122.3666132,2017,0,480
47.6199515,1060,0,-122.3044468,1902,0,1060
47.5927662,1340,450,-122.3023032,2017,0,440
47.5972417,2000,0,-122.123248,1981,720,1280
47.6582091,1620,530,-122.3498211,2016,500,590
47.631339,1750,0,-122.0912758,1976,490,1260
47.7205309,1040,0,-122.3292203,1942,0,1040
47.6801977,1730,0,-122.1730834,1968,720,1010
47.7570956,2400,0,-122.3056406,1962,1000,1400
47.6964976,1323,441,-122.3476383,2019,0,441
47.381839,2850,0,-122.153032,1977,950,1900
47.4913893,2210,0,-122.3476524,1979,950,1260
47.7689527,1740,0,-122.2916939,1975,360,1380
47.4393626,1510,0,-122.2792306,1957,0,1510
47.6869597,2570,0,-122.3975718,1951,900,1670
47.3782987,1390,0,-122.285537,1959,0,1390
47.5962926,1670,570,-122.3095464,2016,530,570
47.6758389,1170,460,-122.354579,2018,250,460
47.5842357,3280,1610,-122.2416564,2017,0,1670
47.5339547,1770,0,-122.286209,1958,0,1770
47.7283659,2050,0,-122.1827854,1968,750,1300
47.496507,2260,900,-122.22853,2017,460,900
47.3275979,1960,0,-122.090747,1973,0,1960
47.5061312,1140,0,-122.366088,1950,0,1140
47.6886083,1810,0,-122.1287215,1981,450,1360
47.5658224,1440,410,-122.3723157,2018,330,410
47.7127197,2150,0,-122.3203471,1949,0,1480
47.6561744,2050,0,-122.1293779,1966,440,1610
47.6608672,2510,0,-122.1919074,1951,1140,1370
47.2866126,1330,0,-122.196179,1962,0,1330
47.4211457,1490,0,-122.3419207,1996,0,1490
47.5724569,1170,0,-122.3849063,1928,0,860
47.6830637,1390,490,-122.3877984,2017,0,410
47.6401739,2450,0,-122.1128231,1972,840,1610
47.2853333,1280,0,-122.2216404,1931,0,860
47.6116115,3620,1500,-122.28296,1921,620,1500
47.749538,1190,0,-122.2405308,1969,0,1190
47.664807,750,0,-122.338246,1906,0,580
47.6865195,1535,511,-122.3770624,2018,0,511
47.5335464,3550,2000,-122.1705022,2017,0,1550
47.6764354,690,0,-122.3935836,1922,0,690
47.5762015,1700,0,-122.2884661,1912,0,1100
47.7298216,2060,1050,-122.2266888,1979,0,1010
47.7302221,1880,1160,-122.2348407,1965,0,720
47.5521202,1200,0,-122.2837379,1913,0,1100
47.2954575,1080,0,-122.2828631,1962,0,1080
47.6287073,2300,0,-122.3014012,1925,900,900
47.265613,4040,0,-122.328568,1968,2000,2040
47.7473672,2110,0,-122.3280876,1962,800,1310
47.4653107,2020,0,-122.359515,1948,0,2020
47.6023676,1640,570,-122.3117604,2015,0,550
47.4758383,720,0,-122.2097156,1907,0,720
47.548471,1160,400,-122.2875611,2018,0,360
47.6193225,2120,0,-122.1129108,1963,1050,1070
47.2950077,1320,0,-122.2183113,1944,0,970
47.7353905,2740,1040,-122.2861048,1980,510,1190
47.5076125,1170,0,-122.3624384,1955,350,820
47.6019576,1660,500,-122.2970304,2017,560,600
47.3419114,1900,0,-122.1933235,1968,0,1900
47.5764223,2740,0,-122.2320057,1963,1060,1680
